Date,USDTRY,WACF_RATE,CPI_INDEX,CPI_YOY,USDTRY_CHG_1M
2019-02-28,5.2949,19.23,398.07,20.35374149659863,0.3525197581638606
2019-03-01,5.2905,19.23,398.71,19.671639103160544,-0.8136635482480004
2019-03-04,5.3177,18.97,398.71,19.671639103160544,0.7502699835167936
2019-03-05,5.3442,18.97,398.71,19.671639103160544,2.5580993686311393
2019-03-06,5.3781,18.97,398.71,19.671639103160544,3.53450765232457
2019-03-07,5.3671,18.97,398.71,19.671639103160544,2.829827183201128
2019-03-08,5.379,18.97,398.71,19.671639103160544,3.4840993478135296
2019-03-11,5.4309,18.71,398.71,19.671639103160544,4.261936301330427
2019-03-12,5.4544,18.71,398.71,19.671639103160544,4.07769954395405
2019-03-13,5.4345,18.71,398.71,19.671639103160544,3.636675693199587
2019-03-14,5.4359,18.71,398.71,19.671639103160544,3.4306263794809277
2019-03-15,5.4523,18.71,398.71,19.671639103160544,3.581063110300553
2019-03-18,5.4617,19.03,398.71,19.671639103160544,4.173262888859242
2019-03-19,5.4564,19.03,398.71,19.671639103160544,3.209941929748239
2019-03-20,5.4544,19.03,398.71,19.671639103160544,3.6938461245983767
2019-03-21,5.4642,19.03,398.71,19.671639103160544,3.250066135066687
2019-03-22,5.47,19.03,398.71,19.671639103160544,3.1063861871371445
2019-03-25,5.4392,19.11,398.71,19.671639103160544,2.6961709840646275
2019-03-26,5.5274,19.11,398.71,19.671639103160544,4.013849946369108
2019-03-27,5.6458,19.11,398.71,19.671639103160544,6.187932591032208
2019-03-28,5.4945,19.11,398.71,19.671639103160544,3.556485355648542
2019-03-29,5.3307,19.11,398.71,19.671639103160544,0.6761223063702859
2019-04-01,5.5423,19.51,402.81,19.712910128388007,4.759474529817598
2019-04-02,5.6284,19.51,402.81,19.712910128388007,5.8427515655264495
2019-04-03,5.5986,19.51,402.81,19.712910128388007,4.760300886942859
2019-04-04,5.5569,19.51,402.81,19.712910128388007,3.3245941875383433
2019-04-05,5.6067,19.51,402.81,19.712910128388007,4.464235807046646
2019-04-08,5.6291,19.2,402.81,19.712910128388007,4.649563115820787
2019-04-09,5.5923,19.2,402.81,19.712910128388007,2.9718831132961254
2019-04-10,5.6671,19.2,402.81,19.712910128388007,3.899603989439715
2019-04-11,5.6576,19.2,402.81,19.712910128388007,4.105253473180626
2019-04-12,5.6727,19.2,402.81,19.712910128388007,4.356224360271521
2019-04-15,5.7112,19.52,402.81,19.712910128388007,4.7484547805513255
2019-04-16,5.7827,19.52,402.81,19.712910128388007,5.877290953366154
2019-04-17,5.7852,19.52,402.81,19.712910128388007,6.025951176599942
2019-04-18,5.7892,19.52,402.81,19.712910128388007,6.138163684364928
2019-04-19,5.7427,19.52,402.81,19.712910128388007,5.096811976135585
2019-04-22,5.8094,20.59,402.81,19.712910128388007,6.204753199268742
2019-04-24,5.7921,20.59,402.81,19.712910128388007,6.488086483306366
2019-04-25,5.8253,20.59,402.81,19.712910128388007,5.389514057242106
2019-04-26,5.8598,20.59,402.81,19.712910128388007,3.790428282971403
2019-04-29,5.8927,21.03,402.81,19.712910128388007,7.247247247247235
2019-04-30,5.9233,21.03,402.81,19.712910128388007,11.116738889826848
2019-05-02,5.9282,21.03,409.63,19.50230468522085,6.962813272468105
2019-05-03,5.9563,21.03,409.63,19.50230468522085,5.825811953663562
