tech_weight,macro_weight,risk_aversion,tilt_strength,max_weight,sharpe,excess_sharpe,ann_return,ann_vol,calmar,max_dd
0.4,0.6,2.0,0.0,0.25,1.872,0.14400000000000013,0.5194699396313309,0.31725091065793415,1.6374103971964107,-0.3579328638337868
0.4,0.6,2.0,0.0,0.3,1.829,0.10099999999999998,0.5251279792381994,0.3268515697660534,1.6066252324076764,-0.38836422334435255
0.4,0.6,2.0,0.1,0.1,1.728,0.0,0.4372685475517481,0.28068286129374576,1.5578740559229558,-0.32397833806838794
0.4,0.6,2.0,0.1,0.15,1.941,0.21300000000000008,0.4930317421652507,0.2910533921642099,1.6939563510982423,-0.3148515976682051
0.4,0.6,2.0,0.1,0.2,2.018,0.2899999999999998,0.5298892771333068,0.30537419609676825,1.7352130072096639,-0.3239701196938384
0.4,0.6,2.0,0.1,0.25,1.873,0.14500000000000002,0.5222346722592294,0.31890373327473137,1.6375934734176696,-0.3665068477655018
0.4,0.6,2.0,0.1,0.3,1.824,0.09600000000000009,0.5249126990657884,0.3273939145043075,1.603306218628209,-0.401324633579071
0.4,0.6,2.0,0.2,0.1,1.728,0.0,0.4372685476146318,0.28068286129768594,1.5578740561251248,-0.32397833806948584
0.4,0.6,2.0,0.2,0.15,1.937,0.20900000000000007,0.4922455790581138,0.29102372959299794,1.6914276363186203,-0.31813946073206617
0.4,0.6,2.0,0.2,0.2,2.006,0.2779999999999998,0.5283461698488118,0.3058583260372901,1.7274212433386433,-0.3248094731409955
0.4,0.6,2.0,0.2,0.25,1.886,0.15799999999999992,0.526944978328292,0.32036376718976567,1.64483325611588,-0.3726183288351663
0.4,0.6,2.0,0.2,0.3,1.794,0.06600000000000006,0.5197135595787448,0.3281232556316643,1.5838973637459905,-0.41154651305705664
0.4,0.6,2.0,0.3,0.1,1.728,0.0,0.4372685476419125,0.28068286128363185,1.5578740563003233,-0.3239783380707201
0.4,0.6,2.0,0.3,0.15,1.939,0.21100000000000008,0.49284505435784,0.2912200158748397,1.6923460871235394,-0.3181394700351024
