,AKBNK.IS,BIMAS.IS,EKGYO.IS,EREGL.IS,FROTO.IS,GARAN.IS,MGROS.IS,SISE.IS,THYAO.IS,TOASO.IS
2021-12-31,1.94573481727221e-09,2.025540880450411e-10,2.5554239457542613e-10,0.19999999982969763,0.19999999936180515,1.3919993643480906e-08,2.022589016430052e-10,0.19999999982572433,0.19999998462531454,0.19999999983137462
2022-01-31,6.224184024906807e-09,1.379801802318319e-10,1.493156046728346e-10,0.19999999973422322,0.17114352615031067,0.028856468312317064,1.809381460253244e-10,0.1999999994312441,0.19999999983609948,0.19999999984338734
2022-02-28,8.438610918071076e-09,1.6119958812945828e-09,4.3192005769824727e-10,0.19999999961208392,0.11075687308422048,0.0892431259418901,4.535295358427351e-10,0.1999999913355123,0.1999999994842641,0.19999999960597273
2022-03-31,2.7225255830621203e-10,3.8066205959183126e-11,4.2301430146010436e-11,0.1999999999218319,3.2211283650478885e-09,0.1999999996647284,4.2189408711337205e-11,0.19999999688711673,0.1999999999525079,0.19999999995787715
2022-04-29,0.07845145792746168,6.14222943825191e-12,1.8093572461399432e-11,0.12154854198252261,1.2539223769922493e-10,0.19999999996783033,5.575762370912445e-12,0.1999999999810374,0.19999999999218152,0.19999999999376264
2022-05-31,2.6539601103754727e-10,2.8461050509585363e-11,6.378550459548533e-11,0.13030814958315567,0.06969185045580711,0.19999999963859533,1.778938570641493e-11,0.19999999997320042,0.19999999997766918,0.19999999999614018
2022-06-30,0.020095277011847962,4.698836926880935e-11,5.756105083770237e-11,0.11392063748047047,0.06598408454332588,0.19999999998913942,8.950537158345742e-10,0.19999999999775703,0.19999999999243398,0.19999999998542203
2022-07-29,0.03146447727817589,8.737316868179696e-11,0.07342868148226812,8.378370268328059e-11,0.09510683871235862,0.19999999996189718,2.455444701029334e-09,0.19999999999801182,0.19999999998968226,0.1999999999510045
2022-08-31,2.5400184735138054e-09,1.1472991943065997e-10,0.14809216708854628,1.506707933252266e-10,6.735147093188184e-08,0.19999999970140048,0.19999999802166582,0.1999999998844917,0.19999999989825484,0.05190776524875068
2022-09-30,0.03225852993590302,3.896048751077922e-10,0.11988265489146697,1.7020833970425793e-10,0.06295079793763883,0.18490801469928797,0.19999999998831386,0.19999999995180168,0.19999999997679155,2.058983067639311e-09
2022-10-31,0.15388666438008994,0.04983476321358816,0.01942906266983832,4.273255605427784e-11,7.801493581562399e-10,0.1768495088249796,0.19999999998465992,0.19999999999406456,0.19999999998535445,1.245431122872609e-10
2022-11-30,0.1303140180531952,1.2412661332373457e-10,0.1999999998179647,5.934017309369602e-10,1.9239572409034742e-10,0.06968598128847557,0.19999999995144613,0.19999999990856362,0.19999999996172502,1.0870556429960295e-10
