,returns
2018-10-11,-0.005805184969995097
2018-10-12,0.022416141643044802
2018-10-15,0.002451464234303206
2018-10-16,0.0015260400055673714
2018-10-17,-0.014583107689532845
2018-10-18,-0.015296150446774648
2018-10-19,-0.00039797006050357533
2018-10-22,-0.019626582506309973
2018-10-23,-0.009686858887314043
2018-10-24,-0.009404337641728494
2018-10-25,0.011053537325035608
2018-10-26,-0.055093804413850644
2018-10-30,-0.028830020805456425
2018-10-31,0.010674917036981488
2018-11-01,0.016740186953777086
2018-11-02,0.025311667669038335
2018-11-05,0.00887391985962126
2018-11-06,-0.020591023443220374
2018-11-07,0.01729640546162773
2018-11-08,-0.02233982055890474
2018-11-09,-0.0031868997831857866
2018-11-12,-0.007047352251108631
2018-11-13,0.01259900833825001
2018-11-14,0.010477427358812338
2018-11-15,0.00577801997675545
2018-11-16,-0.004262792183211846
2018-11-19,0.004112750913957172
2018-11-20,-0.030459743111758513
2018-11-21,0.0070665840839940555
2018-11-22,0.007846594070884902
2018-11-23,0.0022930077524575595
2018-11-26,6.503959244718075e-05
2018-11-27,-0.006899655279796402
2018-11-28,0.01308039484654534
2018-11-29,-0.004836457310242407
2018-11-30,-0.002991083675900547
2018-12-03,-0.002448131720808618
2018-12-04,-0.003960316920629298
2018-12-05,0.01380674112115227
2018-12-06,-0.006727197754748725
2018-12-07,-0.0030885847626774135
2018-12-10,-0.011761724621095178
2018-12-11,-0.0055169919121219445
2018-12-12,-0.007663726210573754
2018-12-13,0.024291851324021244
2018-12-14,-0.01904127169295449
2018-12-17,-0.004077682716022523
2018-12-18,0.012714798248812872
2018-12-19,0.023067409386861887
2018-12-20,-0.0030823309950425972
2018-12-21,-0.0013765446222725698
2018-12-24,-0.014364641381223724
2018-12-25,-0.008078319694922722
2018-12-26,0.0016766935609517353
2018-12-27,0.011333234103817067
2018-12-28,-0.0026801966435459536
2018-12-31,0.016730617639609875
2019-01-02,-0.03476473918459827
2019-01-03,-0.01573110372325224
2019-01-04,0.011499838472671005
2019-01-07,0.012578805356186704
2019-01-08,0.007456560742812646
2019-01-09,0.008045353483438926
2019-01-10,0.009740561059304294
2019-01-11,0.004006327349249762
2019-01-14,0.00506072506371534
2019-01-15,0.0006372531985169025
2019-01-16,0.004462377043550053
2019-01-17,0.004514334377964318
2019-01-18,0.021876474087232062
2019-01-21,-0.002267691684876558
2019-01-22,0.003408124434374868
2019-01-23,-0.0031127552112834734
2019-01-24,0.014681793614272402
2019-01-25,0.009881497178815056
2019-01-28,0.006635776121895068
2019-01-29,0.021914448681371882
2019-01-30,0.015222780819172952
2019-01-31,-0.004645478962587702
2019-02-01,-0.02192648520478673
2019-02-04,-0.00488160444936316
2019-02-05,-0.008957253027002935
2019-02-06,0.008016694087968644
2019-02-07,0.0012424150055368914
2019-02-08,-0.005121695228044361
